plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	7h_up_dir	7h_up_dff	7h_up_scat	7h_bottom_dir	7h_bottom_dff	7h_bottom_scat	7h_totalPPFD	8h_up_dir	8h_up_dff	8h_up_scat	8h_bottom_dir	8h_bottom_dff	8h_bottom_scat	8h_totalPPFD	9h_up_dir	9h_up_dff	9h_up_scat	9h_bottom_dir	9h_bottom_dff	9h_bottom_scat	9h_totalPPFD	10h_up_dir	10h_up_dff	10h_up_scat	10h_bottom_dir	10h_bottom_dff	10h_bottom_scat	10h_totalPPFD	11h_up_dir	11h_up_dff	11h_up_scat	11h_bottom_dir	11h_bottom_dff	11h_bottom_scat	11h_totalPPFD	12h_up_dir	12h_up_dff	12h_up_scat	12h_bottom_dir	12h_bottom_dff	12h_bottom_scat	12h_totalPPFD	13h_up_dir	13h_up_dff	13h_up_scat	13h_bottom_dir	13h_bottom_dff	13h_bottom_scat	13h_totalPPFD	14h_up_dir	14h_up_dff	14h_up_scat	14h_bottom_dir	14h_bottom_dff	14h_bottom_scat	14h_totalPPFD	15h_up_dir	15h_up_dff	15h_up_scat	15h_bottom_dir	15h_bottom_dff	15h_bottom_scat	15h_totalPPFD	16h_up_dir	16h_up_dff	16h_up_scat	16h_bottom_dir	16h_bottom_dff	16h_bottom_scat	16h_totalPPFD	17h_up_dir	17h_up_dff	17h_up_scat	17h_bottom_dir	17h_bottom_dff	17h_bottom_scat	17h_totalPPFD	18h_up_dir	18h_up_dff	18h_up_scat	18h_bottom_dir	18h_bottom_dff	18h_bottom_scat	18h_totalPPFD	
1	1.00	2.00	0.09	0.00	1.93	2.25	20.16	3.01	3.53	21.26	1.47	2.64	20.16	0.00	0.0000	0.0000	0.6042	9.06	119.32	0.00	0.00	10.16	0.00	138.54	571.41	224.04	0.00	0.00	19.07	0.00	814.51	1095.23	264.62	0.00	0.00	22.52	0.00	1382.37	470.13	284.28	0.00	0.00	24.19	0.00	778.60	1734.95	294.67	0.00	0.00	25.08	0.00	2054.70	1731.19	299.88	0.00	0.00	25.52	0.00	2056.59	1575.24	301.47	0.00	0.00	25.66	0.00	1902.37	1319.00	299.88	0.00	0.00	25.52	0.00	1644.40	987.96	294.67	0.00	0.00	25.08	0.00	1307.71	507.74	284.28	0.00	0.00	24.19	0.00	816.21	170.37	264.62	0.00	0.00	22.52	0.00	457.51	0.00	224.04	0.00	114.28	19.07	0.00	357.39	0.00	119.32	0.00	15.63	10.16	0.00	145.11	
1	1.00	2.00	0.19	0.00	1.47	2.64	20.16	3.01	3.53	21.26	1.49	4.82	21.26	0.00	0.0000	0.0000	1.9975	22.12	137.45	0.00	0.00	16.13	0.00	175.70	556.20	258.08	0.00	0.00	30.28	0.00	844.56	581.56	304.83	0.00	0.00	35.76	0.00	922.16	1166.02	327.47	0.00	0.00	38.42	0.00	1531.91	1683.61	339.44	0.00	0.00	39.82	0.00	2062.88	1745.42	345.44	0.00	0.00	40.53	0.00	2131.39	1637.28	347.28	0.00	0.00	40.74	0.00	2025.30	1363.09	345.44	0.00	0.00	40.53	0.00	1749.06	991.22	339.44	0.00	0.00	39.82	0.00	1370.49	540.35	327.47	0.00	0.00	38.42	0.00	906.24	147.23	304.83	0.00	0.00	35.76	0.00	487.82	0.00	258.08	0.00	127.27	30.28	0.00	415.62	0.00	137.45	0.00	17.77	16.13	0.00	171.35	
1	1.00	2.00	0.19	0.00	1.47	2.64	20.16	1.49	4.82	21.26	1.34	4.95	21.26	0.00	0.0000	0.0000	0.1977	23.88	139.67	0.00	0.00	7.76	0.00	171.31	269.90	262.24	0.00	0.00	14.57	0.00	546.72	1264.59	309.75	0.00	0.00	17.21	0.00	1591.55	1321.95	332.76	0.00	0.00	18.49	0.00	1673.19	1693.91	344.92	0.00	0.00	19.16	0.00	2058.00	1595.76	351.02	0.00	0.00	19.50	0.00	1966.28	1575.68	352.88	0.00	0.00	19.60	0.00	1948.16	1343.80	351.02	0.00	0.00	19.50	0.00	1714.32	1031.08	344.92	0.00	0.00	19.16	0.00	1395.16	517.28	332.76	0.00	0.00	18.49	0.00	868.52	185.97	309.75	0.00	0.00	17.21	0.00	512.93	0.00	262.24	0.00	127.01	14.57	0.00	403.83	0.00	139.67	0.00	0.00	7.76	0.00	147.43	
1	1.00	2.00	0.37	0.00	3.01	3.53	21.26	4.13	4.85	22.26	1.49	4.82	21.26	0.00	0.0000	0.0000	1.9928	61.40	130.08	0.00	0.00	3.08	0.00	194.57	555.95	244.24	0.00	0.00	5.78	0.00	805.97	582.94	288.48	0.00	0.00	6.83	0.00	878.25	1220.10	309.91	0.00	0.00	7.34	0.00	1537.35	1680.30	321.24	0.00	0.00	7.60	0.00	2009.15	1749.56	326.92	0.00	0.00	7.74	0.00	2084.22	1701.95	328.65	0.00	0.00	7.78	0.00	2038.38	1399.65	326.92	0.00	0.00	7.74	0.00	1734.31	1059.32	321.24	0.00	0.00	7.60	0.00	1388.16	598.65	309.91	0.00	0.00	7.34	0.00	915.89	213.99	288.48	0.00	0.00	6.83	0.00	509.30	0.00	244.24	0.00	83.47	5.78	0.00	333.49	0.00	130.08	0.00	48.14	3.08	0.00	181.30	
1	1.00	2.00	0.47	0.00	1.49	4.82	21.26	4.13	4.85	22.26	2.61	6.14	22.26	0.00	0.0000	0.0000	1.9928	61.50	130.08	0.00	0.00	10.78	0.00	202.36	458.30	244.24	0.00	0.00	20.23	0.00	722.77	992.48	288.48	0.00	0.00	23.90	0.00	1304.86	1396.84	309.91	0.00	0.00	25.67	0.00	1732.43	1680.30	321.24	0.00	0.00	26.61	0.00	2028.15	1749.56	326.92	0.00	0.00	27.08	0.00	2103.56	1606.43	328.65	0.00	0.00	27.23	0.00	1962.31	1416.31	326.92	0.00	0.00	27.08	0.00	1770.31	1052.01	321.24	0.00	0.00	26.61	0.00	1399.87	621.45	309.91	0.00	0.00	25.67	0.00	957.04	213.99	288.48	0.00	0.00	23.90	0.00	526.37	0.00	244.24	0.00	83.47	20.23	0.00	347.94	0.00	130.08	0.00	49.65	10.78	0.00	190.51	
1	1.00	2.00	0.37	0.00	1.49	4.82	21.26	2.61	6.14	22.26	1.34	4.95	21.26	0.00	0.0000	0.0000	0.1984	60.91	108.24	0.00	0.00	0.00	0.00	169.15	15.82	203.22	0.00	0.00	0.00	0.00	219.04	1074.68	240.03	0.00	0.00	0.00	0.00	1314.71	1431.64	257.86	0.00	0.00	0.00	0.00	1689.50	1761.09	267.29	0.00	0.00	0.00	0.00	2028.38	1757.28	272.01	0.00	0.00	0.00	0.00	2029.29	1657.13	273.46	0.00	0.00	0.00	0.00	1930.58	1422.56	272.01	0.00	0.00	0.00	0.00	1694.57	1027.30	267.29	0.00	0.00	0.00	0.00	1294.59	572.65	257.86	0.00	0.00	0.00	0.00	830.52	222.35	240.03	0.00	0.00	0.00	0.00	462.38	0.00	203.22	0.00	79.09	0.00	0.00	282.31	0.00	108.24	0.00	45.69	0.00	0.00	153.92	
1	1.00	2.00	0.47	0.00	1.34	4.95	21.26	2.61	6.14	22.26	2.02	6.65	22.26	0.00	0.0000	0.0000	0.7794	60.81	147.60	0.00	0.00	3.94	0.00	212.34	44.29	277.12	0.00	0.00	7.39	0.00	328.80	1075.36	327.32	0.00	0.00	8.73	0.00	1411.41	1297.33	351.63	0.00	0.00	9.38	0.00	1658.34	1662.38	364.49	0.00	0.00	9.72	0.00	2036.59	1789.24	370.93	0.00	0.00	9.89	0.00	2170.07	1687.27	372.90	0.00	0.00	9.94	0.00	2070.12	1363.23	370.93	0.00	0.00	9.89	0.00	1744.06	1045.99	364.49	0.00	0.00	9.72	0.00	1420.20	583.07	351.63	0.00	0.00	9.38	0.00	944.08	226.39	327.32	0.00	0.00	8.73	0.00	562.44	0.00	277.12	0.00	76.51	7.39	0.00	361.02	0.00	147.60	0.00	48.94	3.94	0.00	200.47	
1	1.00	2.00	0.66	0.00	4.13	4.85	22.26	5.29	6.21	23.15	2.61	6.14	22.26	0.00	0.0000	0.0000	1.9904	56.92	157.98	0.00	0.00	9.25	0.00	224.15	555.03	296.62	0.00	0.00	17.36	0.00	869.02	1049.07	350.35	0.00	0.00	20.51	0.00	1419.93	1444.18	376.37	0.00	0.00	22.03	0.00	1842.58	1682.31	390.14	0.00	0.00	22.84	0.00	2095.28	1768.33	397.03	0.00	0.00	23.24	0.00	2188.60	1651.82	399.14	0.00	0.00	23.36	0.00	2074.32	1476.39	397.03	0.00	0.00	23.24	0.00	1896.66	1119.10	390.14	0.00	0.00	22.84	0.00	1532.07	702.11	376.37	0.00	0.00	22.03	0.00	1100.52	288.12	350.35	0.00	0.00	20.51	0.00	658.99	0.00	296.62	0.00	33.11	17.36	0.00	347.10	0.00	157.98	0.00	41.93	9.25	0.00	209.16	
1	1.00	2.00	0.75	0.00	2.61	6.14	22.26	5.29	6.21	23.15	3.83	7.46	23.15	0.00	0.0000	0.0000	1.9264	55.39	129.79	0.00	0.00	7.96	0.00	193.14	537.65	243.69	0.00	0.00	14.95	0.00	796.29	1061.06	287.84	0.00	0.00	17.66	0.00	1366.55	1450.92	309.22	0.00	0.00	18.97	0.00	1779.10	1700.46	320.52	0.00	0.00	19.66	0.00	2040.65	1766.81	326.19	0.00	0.00	20.01	0.00	2113.00	1724.71	327.92	0.00	0.00	20.12	0.00	2072.75	1456.54	326.19	0.00	0.00	20.01	0.00	1802.74	1126.08	320.52	0.00	0.00	19.66	0.00	1466.27	713.66	309.22	0.00	0.00	18.97	0.00	1041.85	290.07	287.84	0.00	0.00	17.66	0.00	595.57	0.00	243.69	0.00	30.96	14.95	0.00	289.60	0.00	129.79	0.00	42.05	7.96	0.00	179.81	
1	1.00	2.00	0.66	0.00	2.61	6.14	22.26	3.83	7.46	23.15	2.02	6.65	22.26	0.00	0.0000	0.0000	0.7818	56.04	145.20	0.00	0.00	7.85	0.00	209.09	529.94	272.62	0.00	0.00	14.74	0.00	817.30	1043.97	322.01	0.00	0.00	17.41	0.00	1383.38	1380.71	345.92	0.00	0.00	18.70	0.00	1745.33	1676.10	358.57	0.00	0.00	19.38	0.00	2054.05	1720.26	364.91	0.00	0.00	19.72	0.00	2104.89	1660.16	366.85	0.00	0.00	19.83	0.00	2046.83	1465.40	364.91	0.00	0.00	19.72	0.00	1850.03	1117.40	358.57	0.00	0.00	19.38	0.00	1495.35	697.62	345.92	0.00	0.00	18.70	0.00	1062.24	272.75	322.01	0.00	0.00	17.41	0.00	612.16	0.00	272.62	0.00	48.18	14.74	0.00	335.53	0.00	145.20	0.00	41.31	7.85	0.00	194.35	
1	1.00	2.00	0.94	0.00	5.29	6.21	23.15	5.96	6.99	23.59	3.83	7.46	23.15	0.00	0.0000	0.0000	1.0748	52.53	161.27	0.00	0.00	1.43	0.00	215.23	525.61	302.79	0.00	0.00	2.68	0.00	831.08	985.06	357.64	0.00	0.00	3.16	0.00	1345.87	1427.08	384.20	0.00	0.00	3.40	0.00	1814.68	1666.08	398.25	0.00	0.00	3.52	0.00	2067.86	1776.40	405.29	0.00	0.00	3.59	0.00	2185.27	1738.79	407.44	0.00	0.00	3.61	0.00	2149.83	1513.80	405.29	0.00	0.00	3.59	0.00	1922.67	1164.90	398.25	0.00	0.00	3.52	0.00	1566.68	750.54	384.20	0.00	0.00	3.40	0.00	1138.14	342.04	357.64	0.00	0.00	3.16	0.00	702.84	11.68	302.79	0.00	0.00	2.68	0.00	317.15	0.00	161.27	0.00	34.61	1.43	0.00	197.31	
1	1.00	2.00	0.09	0.00	1.93	2.25	20.16	3.01	3.53	21.26	2.38	1.86	20.16	0.00	0.0000	0.0000	0.5965	0.00	23.14	0.00	21.84	115.71	0.00	160.69	0.00	43.45	0.00	562.94	217.25	0.00	823.65	0.00	51.32	0.00	1096.94	256.61	0.00	1404.86	0.00	55.13	0.00	495.20	275.67	0.00	826.00	0.00	57.15	0.00	756.56	285.75	0.00	1099.46	0.00	58.16	0.00	1669.88	290.79	0.00	2018.83	0.00	58.47	0.00	1624.43	292.34	0.00	1975.24	0.00	58.16	0.00	1363.73	290.79	0.00	1712.69	0.00	57.15	0.00	1025.02	285.75	0.00	1367.91	0.00	55.13	0.00	514.24	275.67	0.00	845.04	0.00	51.32	0.00	197.20	256.61	0.00	505.13	131.53	43.45	0.00	0.00	217.25	0.00	392.23	48.12	23.14	0.00	0.00	115.71	0.00	186.97	
